,"消費者物價基本分類指數"
,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類",
"113年1月","106.59","112.24","103.59","105.03","104.43","105.13","104.96","104.75",
"113年2月","107.26","112.16","101.77","105.29","104.89","105.66","107.47","107.18",
"113年3月","106.56","111.51","101.11","105.38","104.90","105.73","105.28","105.40",
"113年4月","107.15","111.63","104.88","105.82","104.86","106.39","106.00","106.33",
"113年5月","107.38","112.78","104.06","106.14","104.67","106.48","105.25","106.58",
"113年6月","107.71","112.83","103.50","107.42","104.81","106.82","105.85","106.11",
"113年7月","107.92","113.13","102.81","107.61","105.26","107.28","106.38","105.87",
"113年8月","108.34","115.27","100.79","107.71","105.37","107.14","106.19","105.69",
"113年9月","108.46","115.73","100.72","108.03","104.66","107.01","106.03","106.18",

註解：
 由於受查者延誤或更正報價，最近3個月資料均可能修正。
 
  
